番号区画コード,MA,番号,市外局番,市内局番,事業者,使用状況,備考
001,札幌,011731,011,731,東日本電信電話株式会社,使用中,
001,札幌,011732,011,732,,未使用,
001,札幌,011733,011,733,東日本電信電話株式会社,使用中,
001,札幌,011734,011,734,,未使用,
001,札幌,011735,011,735,,未使用,
001,札幌,011736,011,736,東日本電信電話株式会社,使用中,
001,札幌,011737,011,737,東日本電信電話株式会社,使用中,
001,札幌,011738,011,738,東日本電信電話株式会社,使用中,
001,札幌,011739,011,739,,未使用,
001,札幌,011740,011,740,,未使用,
001,札幌,011741,011,741,東日本電信電話株式会社,使用中,
001,札幌,011742,011,742,東日本電信電話株式会社,使用中,
001,札幌,011743,011,743,東日本電信電話株式会社,使用中,
001,札幌,011744,011,744,,未使用,
001,札幌,011745,011,745,,未使用,
001,札幌,011746,011,746,東日本電信電話株式会社,使用中,
001,札幌,011747,011,747,東日本電信電話株式会社,使用中,
001,札幌,011748,011,748,東日本電信電話株式会社,使用中,
001,札幌,011749,011,749,,未使用,
001,札幌,011750,011,750,東日本電信電話株式会社,使用中,
001,札幌,011751,011,751,東日本電信電話株式会社,使用中,
001,札幌,011752,011,752,東日本電信電話株式会社,使用中,
001,札幌,011753,011,753,東日本電信電話株式会社,使用中,
001,札幌,011754,011,754,,未使用,
001,札幌,011755,011,755,,未使用,
001,札幌,011756,011,756,東日本電信電話株式会社,使用中,
001,札幌,011757,011,757,東日本電信電話株式会社,使用中,
001,札幌,011758,011,758,東日本電信電話株式会社,使用中,
001,札幌,011759,011,759,,未使用,
001,札幌,011760,011,760,,未使用,
001,札幌,011761,011,761,東日本電信電話株式会社,使用中,
001,札幌,011762,011,762,東日本電信電話株式会社,使用中,
001,札幌,011763,011,763,東日本電信電話株式会社,使用中,
001,札幌,011764,011,764,東日本電信電話株式会社,使用中,
001,札幌,011765,011,765,東日本電信電話株式会社,使用中,
001,札幌,011766,011,766,東日本電信電話株式会社,使用中,
001,札幌,011767,011,767,,未使用,
001,札幌,011768,011,768,東日本電信電話株式会社,使用中,
001,札幌,011769,011,769,東日本電信電話株式会社,使用中,
001,札幌,011770,011,770,東日本電信電話株式会社,使用中,
001,札幌,011771,011,771,東日本電信電話株式会社,使用中,
001,札幌,011772,011,772,東日本電信電話株式会社,使用中,
001,札幌,011773,011,773,東日本電信電話株式会社,使用中,
001,札幌,011774,011,774,東日本電信電話株式会社,使用中,
001,札幌,011775,011,775,東日本電信電話株式会社,使用中,
001,札幌,011776,011,776,東日本電信電話株式会社,使用中,
001,札幌,011777,011,777,ＫＤＤＩ株式会社,使用中,
001,札幌,011778,011,778,東日本電信電話株式会社,使用中,
001,札幌,011779,011,779,,未使用,
001,札幌,011780,011,780,東日本電信電話株式会社,使用中,
001,札幌,011781,011,781,東日本電信電話株式会社,使用中,
001,札幌,011782,011,782,東日本電信電話株式会社,使用中,
001,札幌,011783,011,783,東日本電信電話株式会社,使用中,
001,札幌,011784,011,784,東日本電信電話株式会社,使用中,
001,札幌,011785,011,785,東日本電信電話株式会社,使用中,
001,札幌,011786,011,786,東日本電信電話株式会社,使用中,
001,札幌,011787,011,787,東日本電信電話株式会社,使用中,
001,札幌,011788,011,788,東日本電信電話株式会社,使用中,
001,札幌,011789,011,789,東日本電信電話株式会社,使用中,
001,札幌,011790,011,790,東日本電信電話株式会社,使用中,
001,札幌,011791,011,791,東日本電信電話株式会社,使用中,
001,札幌,011792,011,792,東日本電信電話株式会社,使用中,
001,札幌,011793,011,793,,未使用,
001,札幌,011794,011,794,,未使用,
001,札幌,011795,011,795,ソフトバンク株式会社,使用中,
001,札幌,011796,011,796,ソフトバンク株式会社,使用中,
